State,Population,Year,Religiosity,Diversity,Income,Bachelor's,Legislative,Election Year,Strengthening Economy,Reducing Healthcare Costs(S),Budget Deficit(S),Dealing with Climate Change(S),Protecting Environment,Gun Control(S),Immigration,Reproductive Rights(S)
Nevada," 3,194,176 ",2023,2,4,3,2,2,0,5,5,3,3,3,2,3,1
New Hampshire," 1,402,054 ",2023,1,1,4,4,1,0,1,1,4,3,2,4,3,2
New Jersey," 9,290,841 ",2023,3,3,2,4,3,0,4,2,2,3,2,1,4,1
New Mexico," 2,114,371 ",2023,3,5,4,3,3,0,4,5,4,3,3,3,3,1
New York," 19,571,216 ",2023,2,3,3,4,3,0,5,2,1,2,1,1,3,1
North Carolina," 10,835,491 ",2023,4,2,3,3,2,0,4,4,5,3,3,3,2,5
North Dakota," 783,926 ",2023,3,1,3,3,1,0,4,3,4,3,5,5,2,6
Ohio," 11,785,935 ",2023,3,1,3,3,1,0,4,3,3,3,5,4,3,4
Oklahoma," 4,053,824 ",2023,4,2,2,2,1,0,5,5,4,3,5,5,3,6
Oregon," 4,233,358 ",2023,2,1,3,3,3,0,1,2,3,3,2,1,5,1
Pennsylvania," 12,961,683 ",2023,3,1,3,3,2,0,4,1,3,3,3,2,3,4
Rhode Island," 1,095,962 ",2023,2,2,3,3,3,0,4,1,3,3,1,2,3,1
South Carolina," 5,373,555 ",2023,5,2,2,3,1,0,4,4,5,3,5,4,2,5
South Dakota," 919,318 ",2023,3,1,3,3,1,0,4,3,5,3,5,5,3,6
Tennessee," 7,126,489 ",2023,5,1,3,3,1,0,5,5,4,3,3,5,2,6
Texas," 30,503,301 ",2023,4,5,3,3,1,0,5,5,5,3,3,5,1,6
Utah," 3,417,734 ",2023,4,1,3,3,1,0,4,4,5,3,3,5,3,5
Vermont," 647,464 ",2023,1,1,3,4,2,0,4,1,3,3,1,2,4,1
Virginia," 8,715,698 ",2023,4,3,3,4,2,0,3,2,5,3,2,2,3,2
Washington," 7,812,880 ",2023,2,2,4,3,3,0,5,1,2,3,2,1,4,1
West Virginia," 1,770,071 ",2023,4,1,2,2,1,0,4,4,4,3,5,5,2,6
Wisconsin," 5,910,955 ",2023,2,1,2,3,2,0,3,2,4,3,3,3,3,4
Wyoming," 584,057 ",2023,3,1,4,2,1,0,3,5,4,3,5,5,3,1
Alabama," 5,031,864 ",2020,4,4,2,2,1,0,5,4,4,3,5,5,2,5
Alaska," 732,964 ",2020,1,5,4,3,1,0,1,4,2,3,5,5,3,3
Arizona," 7,186,683 ",2020,2,5,3,3,1,0,5,5,4,3,3,5,1,5
Arkansas," 3,014,348 ",2020,3,3,2,2,1,0,5,4,5,3,4,5,2,5
California," 39,503,200 ",2020,2,5,4,3,3,0,5,2,2,3,1,1,5,1
Colorado," 578,219 ",2020,1,4,4,4,3,0,4,3,4,3,2,3,3,2
Connecticut," 3,577,586 ",2020,2,4,5,4,3,0,4,1,2,3,1,1,4,3
Delaware," 991,862 ",2020,2,4,4,3,3,1,1,2,4,3,2,2,3,3
District of Columbia," 670,839 ",2020,3,5,5,5,3,0,3,1,4,2,1,1,3,3
Florida," 21,591,299 ",2020,2,5,2,3,1,0,4,5,4,3,3,3,1,4
Georgia," 10,732,390 ",2020,3,5,3,3,1,0,4,5,5,3,5,5,2,4
Hawaii," 1,451,181 ",2020,2,5,5,3,3,0,3,1,1,3,2,1,3,2
Idaho," 1,849,339 ",2020,3,2,3,2,1,0,4,5,4,3,3,5,2,4
Illinois," 12,790,357 ",2020,3,5,4,3,3,0,5,2,3,3,2,1,3,3
Indiana," 6,789,098 ",2020,2,3,3,2,1,1,4,3,4,3,4,4,2,5
Iowa," 319,090 ",2020,2,2,3,2,1,0,4,1,4,3,4,3,2,4
Kansas," 2,938,124 ",2020,2,3,4,3,2,0,5,3,4,3,5,5,2,4
Kentucky," 4,508,155 ",2020,2,2,2,2,2,0,3,3,4,3,4,5,2,5
Louisiana," 4,652,022 ",2020,4,4,2,2,2,0,5,4,4,3,5,5,2,5
Maine," 1,364,517 ",2020,1,4,3,3,3,0,3,3,3,3,2,5,2,2
Maryland," 6,173,689 ",2020,2,5,5,4,2,0,3,2,3,3,1,1,3,3
Massachusetts," 6,997,713 ",2020,2,4,5,4,2,0,4,1,3,3,1,1,3,3
Michigan," 10,070,627 ",2020,1,3,3,3,2,0,3,2,2,3,2,3,2,4
Minnesota," 5,710,578 ",2020,2,3,5,3,2,0,4,1,2,3,1,3,2,3
Mississippi," 2,958,409 ",2020,3,4,2,2,1,0,4,5,4,3,5,5,2,5
Missouri," 6,154,426 ",2020,2,3,3,3,1,1,5,4,4,3,4,5,2,5
Montana," 1,087,211 ",2020,1,3,3,3,2,1,1,3,3,3,3,5,2,3
Nebraska," 1,963,273 ",2020,2,3,4,3,1,0,4,3,4,3,5,3,2,5
Nevada," 3,115,840 ",2020,2,5,3,2,3,0,5,5,3,3,3,3,3,2
New Hampshire," 1,378,702 ",2020,1,1,5,4,2,1,1,1,4,3,2,5,2,3
New Jersey," 9,272,392 ",2020,3,5,5,4,3,0,4,2,2,3,2,1,5,3
New Mexico," 2,118,488 ",2020,3,5,2,2,3,0,4,4,4,3,3,3,4,3
New York," 20,104,710 ",2020,3,5,4,3,3,0,5,1,1,3,1,1,2,2
North Carolina," 10,453,812 ",2020,3,4,3,3,2,1,4,4,5,3,3,4,2,5
North Dakota," 779,563 ",2020,3,2,3,3,1,1,4,3,4,3,5,5,2,5
Ohio," 11,798,292 ",2020,2,3,3,2,1,0,4,2,3,3,4,4,2,5
Oklahoma," 3,965,234 ",2020,4,4,3,2,1,0,5,5,4,3,4,5,2,5
Oregon," 4,245,044 ",2020,1,3,4,3,3,0,1,3,2,3,1,3,4,2
Pennsylvania," 12,995,477 ",2020,2,3,3,3,2,0,4,2,3,3,2,3,3,5
Rhode Island," 1,096,444 ",2020,3,3,3,3,3,0,4,1,2,3,1,2,3,3
South Carolina," 5,132,151 ",2020,3,4,3,3,1,0,4,4,5,3,4,5,2,5
South Dakota," 887,852 ",2020,3,2,3,3,1,0,4,4,5,3,5,5,2,5
Tennessee," 6,926,091 ",2020,3,3,3,3,1,0,5,4,5,3,3,4,2,5
Texas," 29,234,361 ",2020,3,5,3,3,1,0,5,5,5,3,3,5,1,5
Utah," 3,283,982 ",2020,5,3,5,3,1,1,4,4,5,3,3,4,2,5
Vermont," 642,936 ",2020,1,1,4,4,2,1,4,1,3,3,1,3,4,3
Virginia," 8,637,193 ",2020,2,5,5,4,3,0,3,3,5,3,3,2,3,4
Washington," 7,724,566 ",2020,2,4,5,3,3,1,5,2,2,3,2,2,5,2
West Virginia," 1,791,562 ",2020,1,1,2,2,1,1,4,4,3,3,5,5,2,5
Wisconsin," 5,896,700 ",2020,2,2,3,3,2,0,3,2,4,3,3,3,2,5
Wyoming," 577,664 ",2020,2,2,3,2,1,0,3,5,4,3,5,5,3,4
Alabama," 4,866,824 ",2016,5,2,2,2,1,0,5,4,4,2,4,5,2,5
Alaska," 742,575 ",2016,2,2,4,2,2,0,1,3,2,1,5,5,2,3
Arizona," 6,944,767 ",2016,3,3,2,2,1,0,5,3,5,1,2,5,1,5
Arkansas," 2,991,815 ",2016,4,1,2,2,1,0,5,4,5,2,3,5,2,5
California," 39,149,186 ",2016,2,5,3,3,3,0,5,3,2,1,1,1,5,2
Colorado," 5,543,844 ",2016,4,2,3,4,2,0,4,2,4,1,2,3,3,4
Connecticut," 3,579,830 ",2016,2,2,4,3,3,0,4,1,2,1,1,1,3,2
Delaware," 949,989 ",2016,3,2,3,3,3,1,1,2,3,1,3,2,3,4
District of Columbia," 687,576 ",2016,3,5,4,5,3,0,3,2,4,1,2,1,3,2
Florida," 20,627,237 ",2016,3,3,2,2,1,0,4,5,4,1,3,5,3,5
Georgia," 10,308,442 ",2016,4,3,2,3,1,0,4,5,5,1,4,5,2,5
Hawaii," 1,428,885 ",2016,2,5,4,3,3,0,3,1,2,1,2,1,2,2
Idaho," 1,684,036 ",2016,3,1,2,2,1,0,4,2,4,2,4,5,2,5
Illinois," 12,821,709 ",2016,3,2,3,3,2,0,5,4,3,1,2,2,3,3
Indiana," 6,637,898 ",2016,3,1,2,2,1,1,4,4,3,1,5,4,2,5
Iowa," 3,133,210 ",2016,3,1,3,2,2,0,4,1,4,1,2,3,3,4
Kansas," 2,912,977 ",2016,3,1,2,3,1,0,5,3,4,1,5,5,2,5
Kentucky," 4,440,306 ",2016,4,1,2,2,2,0,3,4,3,2,3,5,2,5
Louisiana," 4,681,346 ",2016,5,3,2,2,1,0,5,5,5,2,5,5,2,5
Maine," 1,332,348 ",2016,1,1,2,3,2,0,4,3,3,1,2,5,2,3
Maryland," 6,007,014 ",2016,3,3,4,3,2,0,3,2,3,1,1,1,2,3
Massachusetts," 6,827,280 ",2016,1,1,4,4,2,0,4,1,3,1,1,1,3,4
Michigan," 9,954,117 ",2016,3,1,2,2,1,0,3,2,3,1,2,3,2,5
Minnesota," 5,525,360 ",2016,2,1,3,3,2,0,4,1,3,1,1,3,3,4
Mississippi," 2,990,595 ",2016,5,3,2,2,1,0,4,5,4,2,5,5,2,5
Missouri," 6,091,384 ",2016,3,1,2,2,2,1,4,3,4,1,4,5,2,5
Montana," 1,042,137 ",2016,2,1,2,3,2,1,1,3,3,1,4,5,2,2
Nebraska," 1,906,483 ",2016,3,1,3,3,1,0,4,1,4,1,5,4,2,5
Nevada," 2,919,555 ",2016,2,4,2,2,1,0,4,3,3,1,4,3,3,3
New Hampshire," 1,343,694 ",2016,1,1,3,3,2,1,1,1,4,1,3,4,2,4
New Jersey," 8,873,584 ",2016,3,3,4,3,2,0,4,2,4,1,3,1,3,3
New Mexico," 2,092,555 ",2016,3,5,2,2,2,0,4,3,4,1,4,5,3,3
New York," 19,636,391 ",2016,2,3,3,3,2,0,5,2,1,1,1,1,2,3
North Carolina," 10,161,802 ",2016,4,2,2,2,1,1,4,3,5,1,3,4,2,5
North Dakota," 756,114 ",2016,3,1,3,2,1,0,4,1,4,1,5,5,2,5
Ohio," 11,640,060 ",2016,3,1,2,2,1,0,4,4,3,1,3,4,2,5
Oklahoma," 3,928,143 ",2016,4,2,2,2,1,0,5,5,4,2,5,5,2,5
Oregon," 4,093,271 ",2016,2,1,3,3,3,1,1,2,3,1,1,3,4,2
Pennsylvania," 12,788,468 ",2016,3,1,3,3,2,0,4,3,3,1,2,3,3,5
Rhode Island," 1,057,816 ",2016,2,1,3,3,3,0,4,1,2,1,1,2,3,5
South Carolina," 4,963,031 ",2016,5,2,2,2,1,0,4,4,5,1,4,5,2,5
South Dakota," 863,693 ",2016,3,1,2,2,1,0,3,1,4,1,5,5,2,5
Tennessee," 6,651,277 ",2016,5,1,2,2,1,0,5,4,4,2,3,5,2,5
Texas," 27,914,064 ",2016,4,4,3,2,1,0,5,5,5,2,3,5,2,5
Utah," 3,044,241 ",2016,4,1,3,3,1,1,4,2,5,1,2,5,2,5
Vermont," 624,366 ",2016,1,1,3,3,3,1,4,2,3,1,1,5,4,3
Virginia," 8,417,651 ",2016,4,2,3,3,2,0,3,3,5,1,4,4,3,5
Washington," 7,299,961 ",2016,2,1,3,3,2,1,5,2,2,1,1,2,3,2
West Virginia," 1,832,435 ",2016,4,1,2,2,2,1,4,4,3,1,5,5,2,5
Wisconsin," 5,775,170 ",2016,2,1,3,2,1,0,3,1,4,1,3,3,2,5
Wyoming," 585,243 ",2016,3,1,3,2,1,0,3,3,4,1,5,5,3,5
